Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Alameda County,13.5
2020,June,CA,Alpine County,18.9
2020,June,CA,Amador County,12.7
2020,June,CA,Butte County,12.2
2020,June,CA,Calaveras County,11
2020,June,CA,Colusa County,18.4
2020,June,CA,Contra Costa County,13.4
2020,June,CA,Del Norte County,12.5
2020,June,CA,El Dorado County,12.8
2020,June,CA,Fresno County,14.5
2020,June,CA,Glenn County,12.8
2020,June,CA,Humboldt County,11.7
2020,June,CA,Imperial County,27.4
2020,June,CA,Inyo County,11
2020,June,CA,Kern County,17.5
2020,June,CA,Kings County,14.4
2020,June,CA,Lake County,14.2
2020,June,CA,Lassen County,9.4
2020,June,CA,Los Angeles County,19.6
2020,June,CA,Los Angeles County,19.4
2020,June,CA,Madera County,13.9
2020,June,CA,Marin County,10.1
2020,June,CA,Mariposa County,14.1
2020,June,CA,Mendocino County,12.4
2020,June,CA,Merced County,15.6
2020,June,CA,Modoc County,9.8
2020,June,CA,Mono County,24.7
2020,June,CA,Monterey County,14.4
2020,June,CA,Napa County,12.6
2020,June,CA,Nevada County,13.1
2020,June,CA,Orange County,13.6
2020,June,CA,Placer County,11.1
2020,June,CA,Plumas County,13.7
2020,June,CA,Riverside County,14.7
2020,June,CA,Sacramento County,13.6
2020,June,CA,San Benito County,13.7
2020,June,CA,San Bernardino County,13.8
2020,June,CA,San Diego County,13.8
2020,June,CA,San Francisco County,12.5
2020,June,CA,San Joaquin County,15.8
2020,June,CA,San Luis Obispo County,11.5
2020,June,CA,San Mateo County,10.8
2020,June,CA,Santa Barbara County,11.5
2020,June,CA,Santa Clara County,10.7
2020,June,CA,Santa Cruz County,13.1
2020,June,CA,Shasta County,11.5
2020,June,CA,Sierra County,11.3
2020,June,CA,Siskiyou County,12.4
2020,June,CA,Solano County,13.6
2020,June,CA,Sonoma County,11.6
2020,June,CA,Stanislaus County,15
2020,June,CA,Sutter County,15
2020,June,CA,Tehama County,11.8
2020,June,CA,Trinity County,9.6
2020,June,CA,Tulare County,17.1
2020,June,CA,Tuolumne County,14.3
2020,June,CA,Ventura County,12.6
2020,June,CA,Yolo County,10.5
2020,June,CA,Yuba County,14.3
2020,June,CA,Anaheim-Santa Ana-Irvine MD,13.6
2020,June,CA,Bakersfield MSA,17.5
2020,June,CA,Chico MSA,12.2
2020,June,CA,El Centro MSA,27.4
2020,June,CA,Fresno MSA,14.5
2020,June,CA,Hanford-Corcoran MSA,14.4
2020,June,CA,Los Angeles-Long Beach-Glendale MD,19.6
2020,June,CA,Los Angeles-Long Beach-Glendale MD,19.4
2020,June,CA,Madera MSA,13.9
2020,June,CA,Merced MSA,15.6
2020,June,CA,Modesto MSA,15
2020,June,CA,Napa MSA,12.6
2020,June,CA,Oakland-Hayward-Berkeley MD,13.5
2020,June,CA,Oxnard-Thousand Oaks-Ventura MSA,12.6
2020,June,CA,Redding MSA,11.5
2020,June,CA,Riverside-San Bernardino-Ontario MSA,14.3
2020,June,CA,Sacramento--Roseville--Arden-Arcade MSA,12.8
2020,June,CA,Salinas MSA,14.4
2020,June,CA,San Diego-Carlsbad MSA,13.8
2020,June,CA,San Francisco-Redwood City-South San Francisco MD,11.8
2020,June,CA,San Jose-Sunnyvale-Santa Clara MSA,10.8
2020,June,CA,San Luis Obispo-Paso Robles-Arroyo Grande MSA,11.5
2020,June,CA,San Rafael MD,10.1
2020,June,CA,Santa Cruz-Watsonville MSA,13.1
2020,June,CA,Santa Maria-Santa Barbara MSA,11.5
2020,June,CA,Santa Rosa MSA,11.6
2020,June,CA,Stockton-Lodi MSA,15.8
2020,June,CA,Vallejo-Fairfield MSA,13.6
2020,June,CA,Visalia-Porterville MSA,17.1
2020,June,CA,Yuba City MSA,14.7
2020,June,CA,Acton CDP,15.3
2020,June,CA,Adelanto city,20.7
2020,June,CA,Agoura Hills city,16.6
2020,June,CA,Alameda city,13.5
2020,June,CA,Alamo CDP,8.1
2020,June,CA,Albany city,11.6
2020,June,CA,Alhambra city,21.7
2020,June,CA,Aliso Viejo city,11.6
2020,June,CA,Alondra Park CDP,25.8
2020,June,CA,Alpaugh CDP,34.4
2020,June,CA,Alpine Village CDP,0
2020,June,CA,Altadena CDP,15.2
2020,June,CA,Alta Sierra CDP,7
2020,June,CA,Alturas city,11
2020,June,CA,Amador City city,15.8
2020,June,CA,American Canyon city,16.1
2020,June,CA,Anaheim city,16.3
2020,June,CA,Anderson city,10.6
2020,June,CA,Angels City city,0.4
2020,June,CA,Angwin CDP,11.7
2020,June,CA,Antioch city,17.1
2020,June,CA,Apple Valley town,12.9
2020,June,CA,Aptos CDP,4.7
2020,June,CA,Aptos Hills Larkin Valley CDP,19.9
2020,June,CA,Arbuckle CDP,23.1
2020,June,CA,Arcadia city,16.4
2020,June,CA,Arcata city,17.1
2020,June,CA,Arden Arcade CDP,17.1
2020,June,CA,Armona CDP,18.4
2020,June,CA,Arnold CDP,13.8
2020,June,CA,Aromas CDP (Monterey Co),10.8
2020,June,CA,Arroyo Grande city,10.1
2020,June,CA,Artesia city,16.5
2020,June,CA,Arvin city,16.6
2020,June,CA,Ashland CDP,20.2
2020,June,CA,Atascadero city,10.7
2020,June,CA,Atherton town,11.8
2020,June,CA,Atwater city,15.2
2020,June,CA,Auberry CDP,8.9
2020,June,CA,Auburn city,12.1
2020,June,CA,August CDP,28.3
2020,June,CA,Avalon city,2
2020,June,CA,Avenal city,21.8
2020,June,CA,Avery CDP,22
2020,June,CA,Avocado Heights CDP,23.3
2020,June,CA,Azusa city,17.1
2020,June,CA,Bakersfield city,16.4
2020,June,CA,Baldwin Park city,20.7
2020,June,CA,Banning city,17.2
2020,June,CA,Barstow city,18.2
2020,June,CA,Bay Point CDP,22
2020,June,CA,Beale AFB CDP,20
2020,June,CA,Bear Valley CDP,0
2020,June,CA,Bear Valley Springs CDP,9.2
2020,June,CA,Beaumont city,13.6
2020,June,CA,Beckwourth CDP,0
2020,June,CA,Belden CDP,0
2020,June,CA,Bell city,19.6
2020,June,CA,Bellflower city,21.4
2020,June,CA,Bell Gardens city,19.2
2020,June,CA,Belmont city,8.1
2020,June,CA,Benicia city,11.3
2020,June,CA,Ben Lomond CDP,6.3
2020,June,CA,Berkeley city,10
2020,June,CA,Bermuda Dunes CDP,13.2
2020,June,CA,Bertsch Oceanview CDP,28.4
2020,June,CA,Bethel Island CDP,10.3
2020,June,CA,Beverly Hills city,16.2
2020,June,CA,Big Bear City CDP,8.6
2020,June,CA,Big Bear Lake city,5.5
2020,June,CA,Biggs city,7.2
2020,June,CA,Big Pine CDP,14.2
2020,June,CA,Big River CDP,20.3
2020,June,CA,Biola CDP,36.8
2020,June,CA,Bishop city,9.5
2020,June,CA,Bloomington CDP,15.2
2020,June,CA,Blue Lake city,11.4
2020,June,CA,Bluewater CDP,22.9
2020,June,CA,Blythe city,15.3
2020,June,CA,Bodega Bay CDP,8.4
2020,June,CA,Bodfish CDP,18.6
2020,June,CA,Bonadelle Ranchos Madera Ranchos CDP,9.9
2020,June,CA,Bonita CDP,20.1
2020,June,CA,Bootjack CDP,20.4
2020,June,CA,Boron CDP,11.6
2020,June,CA,Boronda CDP,54.2
2020,June,CA,Bostonia CDP,24.2
2020,June,CA,Boulder Creek CDP,15.9
2020,June,CA,Boyes Hot Springs CDP,7.8
2020,June,CA,Bradbury city,6.8
2020,June,CA,Bradley CDP,0
2020,June,CA,Brawley city,21
2020,June,CA,Brea city,13.6
2020,June,CA,Brentwood city,13.6
2020,June,CA,Bret Harte CDP,28
2020,June,CA,Brisbane city,11.3
2020,June,CA,Broadmoor CDP,19.9
2020,June,CA,Bucks Lake CDP,0
2020,June,CA,Buellton city,5.1
2020,June,CA,Buena Park city,16.6
2020,June,CA,Burbank city,22.7
2020,June,CA,Burlingame city,9.2
2020,June,CA,Burney CDP,11.9
2020,June,CA,Buttonwillow CDP,18.2
2020,June,CA,Byron CDP,23.3
2020,June,CA,Bystrom CDP,15.7
2020,June,CA,Cabazon CDP,12.5
2020,June,CA,Calabasas city,12.8
2020,June,CA,Calexico city,40
2020,June,CA,California City city,31.7
2020,June,CA,Calimesa city,14.6
2020,June,CA,Calipatria city,33.4
2020,June,CA,Calistoga city,16.4
2020,June,CA,Calwa CDP,25
2020,June,CA,Camarillo city,11.4
2020,June,CA,Cambria CDP,14.5
2020,June,CA,Cameron Park CDP,11.9
2020,June,CA,Campbell city,9.6
2020,June,CA,Cantua Creek CDP,13.4
2020,June,CA,Canyondam CDP,80
2020,June,CA,Canyon Lake city,7.8
2020,June,CA,Capitola city,4
2020,June,CA,Carlsbad city,12.7
2020,June,CA,Carmel by the Sea city,0.4
2020,June,CA,Carmel Valley Village CDP,20.8
2020,June,CA,Carmichael CDP,13.5
2020,June,CA,Carpinteria city,9.8
2020,June,CA,Carson city,19.9
2020,June,CA,Cartago CDP,0
2020,June,CA,Caruthers CDP,14.1
2020,June,CA,Casa Conejo CDP,19.1
2020,June,CA,Casa de Oro Mount Helix CDP,13.1
2020,June,CA,Castro Valley CDP,12.4
2020,June,CA,Castroville CDP,25.1
2020,June,CA,Cathedral City city,18.1
2020,June,CA,Cayucos CDP,11.3
2020,June,CA,Ceres city,15.8
2020,June,CA,Cerritos city,17.1
2020,June,CA,Challenge Brownsville CDP,0
2020,June,CA,Channel Islands Beach CDP,30.3
2020,June,CA,Charter Oak CDP,22.9
2020,June,CA,Cherryland CDP,22.5
2020,June,CA,Cherry Valley CDP,9.2
2020,June,CA,Chester CDP,11.5
2020,June,CA,Chico city,12.6
2020,June,CA,Chilcoot Vinton CDP,10
2020,June,CA,China Lake Acres CDP,15.1
2020,June,CA,Chinese Camp CDP,0
2020,June,CA,Chino city,14.3
2020,June,CA,Chino Hills city,12
2020,June,CA,Chowchilla city,12.4
2020,June,CA,Chualar CDP,16
2020,June,CA,Chula Vista city,15.7
2020,June,CA,Citrus CDP,14.3
2020,June,CA,Citrus Heights city,13
2020,June,CA,Claremont city,13.5
2020,June,CA,Clayton city,6.5
2020,June,CA,Clearlake city,25
2020,June,CA,Clearlake Oaks CDP,19.3
2020,June,CA,Clio CDP,0
2020,June,CA,Cloverdale city,6.8
2020,June,CA,Clovis city,12.1
2020,June,CA,Clyde CDP,10.2
2020,June,CA,Coachella city,20.5
2020,June,CA,Coalinga city,15.3
2020,June,CA,Cobb CDP,9.8
2020,June,CA,Colfax city,16.5
2020,June,CA,Colton city,14.1
2020,June,CA,Columbia CDP,29.3
2020,June,CA,Colusa city,15.4
2020,June,CA,Commerce city,22.8
2020,June,CA,Compton city,22.2
2020,June,CA,Concord city,13.4
2020,June,CA,Concow CDP,24.1
2020,June,CA,Copperopolis CDP,11.7
2020,June,CA,Corcoran city,23.6
2020,June,CA,Corning city,13.6
2020,June,CA,Corona city,12.7
2020,June,CA,Coronado city,10.5
2020,June,CA,Corralitos CDP,11.8
2020,June,CA,Corte Madera town,12.8
2020,June,CA,Costa Mesa city,12.4
2020,June,CA,Cotati city,12.3
2020,June,CA,Coto de Caza CDP,13
2020,June,CA,Cottonwood CDP,11
2020,June,CA,Country Club CDP,24.9
2020,June,CA,Covelo CDP,14.9
2020,June,CA,Covina city,19.7
2020,June,CA,Crescent City city,10.4
2020,June,CA,Crescent Mills CDP,0
2020,June,CA,Crestline CDP,8.9
2020,June,CA,C Road CDP,19
2020,June,CA,Crockett CDP,18.6
2020,June,CA,Cromberg CDP,0
2020,June,CA,Cudahy city,18.5
2020,June,CA,Culver City city,17.3
2020,June,CA,Cupertino city,7.3
2020,June,CA,Cutler CDP,18.1
2020,June,CA,Cypress city,14.7
2020,June,CA,Daly City city,16.1
2020,June,CA,Dana Point city,12
2020,June,CA,Danville town,10
2020,June,CA,Darwin CDP,0
2020,June,CA,Davis city,8.1
2020,June,CA,Day Valley CDP,12.5
2020,June,CA,Deer Park CDP,19.8
2020,June,CA,Del Aire CDP,16.3
2020,June,CA,Delano city,31.6
2020,June,CA,Delhi CDP,14.8
2020,June,CA,Delleker CDP,0
2020,June,CA,Del Mar city,10.3
2020,June,CA,Del Monte Forest CDP,16.4
2020,June,CA,Del Rey CDP,18.1
2020,June,CA,Del Rey Oaks city,15.6
2020,June,CA,Denair CDP,13.9
2020,June,CA,Derby Acres CDP,2.9
2020,June,CA,Desert Hot Springs city,22.6
2020,June,CA,Desert View Highlands CDP,28.5
2020,June,CA,Diablo CDP,0
2020,June,CA,Diamond Bar city,17.4
2020,June,CA,Diamond Springs CDP,16.2
2020,June,CA,Dinuba city,22.5
2020,June,CA,Discovery Bay CDP,12.5
2020,June,CA,Dixon city,13.6
2020,June,CA,Dixon Lane Meadow Creek CDP,12.2
2020,June,CA,Dollar Point CDP,7.6
2020,June,CA,Dorrington CDP,13.5
2020,June,CA,Dos Palos city,12
2020,June,CA,Downey city,19.4
2020,June,CA,Duarte city,22.9
2020,June,CA,Dublin city,10.9
2020,June,CA,Ducor CDP,15.8
2020,June,CA,Dunsmuir city,7.8
2020,June,CA,Durham CDP,5.9
2020,June,CA,Dustin Acres CDP,8.2
2020,June,CA,Earlimart CDP,25
2020,June,CA,East Foothills CDP,6.7
2020,June,CA,East Hemet CDP,21.7
2020,June,CA,East Los Angeles CDP,29.3
2020,June,CA,East Oakdale CDP,12.8
2020,June,CA,Easton CDP,15.3
2020,June,CA,East Orosi CDP,44.4
2020,June,CA,East Palo Alto city,12.2
2020,June,CA,East Pasadena CDP,8.9
2020,June,CA,East Porterville CDP,35.8
2020,June,CA,East Quincy CDP,2
2020,June,CA,East Richmond Heights CDP,6.5
2020,June,CA,East San Gabriel CDP,8.3
2020,June,CA,East Shore CDP,80.4
2020,June,CA,East Sonora CDP,0
2020,June,CA,Eastvale City city,13.5
2020,June,CA,Edwards AFB CDP,19.5
2020,June,CA,El Cajon city,17.8
2020,June,CA,El Centro city,24.5
2020,June,CA,El Cerrito city,13
2020,June,CA,El Cerrito CDP,9.4
2020,June,CA,El Dorado Hills CDP,10.4
2020,June,CA,El Granada CDP,10.1
2020,June,CA,Elk Grove CDP,12.7
2020,June,CA,Elkhorn CDP,21
2020,June,CA,Elmira CDP,11.7
2020,June,CA,El Monte city,21.7
2020,June,CA,El Paso de Robles (Paso Robles) city,11.5
2020,June,CA,El Rio CDP,20.8
2020,June,CA,El Segundo city,22.4
2020,June,CA,El Sobrante CDP,16.1
2020,June,CA,El Verano CDP,5.4
2020,June,CA,Emeryville city,9.8
2020,June,CA,Empire CDP,10.4
2020,June,CA,Encinitas city,11
2020,June,CA,Escalon city,8.8
2020,June,CA,Escondido city,13.1
2020,June,CA,Esparto CDP,10.1
2020,June,CA,Eureka city,11.8
2020,June,CA,Exeter city,16.9
2020,June,CA,Fairfax town,9.2
2020,June,CA,Fairfield city,13.4
2020,June,CA,Fair Oaks CDP,9.4
2020,June,CA,Fairview CDP,6.8
2020,June,CA,Fallbrook CDP,13
2020,June,CA,Fall River Mills CDP,0
2020,June,CA,Farmersville city,20.3
2020,June,CA,Farmington CDP,0
2020,June,CA,Fellows CDP,17.6
2020,June,CA,Felton CDP,17.5
2020,June,CA,Ferndale city,4.7
2020,June,CA,Fetters Hot Springs Agua Caliente CDP,5.4
2020,June,CA,Fillmore city,11
2020,June,CA,Firebaugh city,23.1
2020,June,CA,Florence Graham CDP,25
2020,June,CA,Florin CDP,21.7
2020,June,CA,Folsom city,9.6
2020,June,CA,Fontana city,13.9
2020,June,CA,Foothill Farms CDP,14.2
2020,June,CA,Ford City CDP,19.3
2020,June,CA,Foresthill CDP,10
2020,June,CA,Forest Meadows CDP,19
2020,June,CA,Forestville CDP,13.3
2020,June,CA,Fort Bragg city,12.1
2020,June,CA,Fortuna city,10.2
2020,June,CA,Foster City city,7.6
2020,June,CA,Fountain Valley city,14.8
2020,June,CA,Fowler city,11.1
2020,June,CA,Frazier Park CDP,18.7
2020,June,CA,Freedom CDP,18.9
2020,June,CA,Fremont city,10.5
2020,June,CA,French Camp CDP,16.9
2020,June,CA,Fresno city,14.5
2020,June,CA,Friant CDP,23.6
2020,June,CA,Fullerton city,15
2020,June,CA,Furnace Creek CDP,1.9
2020,June,CA,Galt city,12.1
2020,June,CA,Gardena city,21.4
2020,June,CA,Garden Acres CDP,20.9
2020,June,CA,Garden Grove city,18.7
2020,June,CA,Georgetown CDP,25.6
2020,June,CA,Gilroy city,12.6
2020,June,CA,Glendale city,21.1
2020,June,CA,Glendora city,16.2
2020,June,CA,Glen Ellen CDP,0
2020,June,CA,Golden Hills CDP,8.8
2020,June,CA,Gold River CDP,14.8
2020,June,CA,Goleta City,10.2
2020,June,CA,Gonzales city,3
2020,June,CA,Goshen CDP,17.4
2020,June,CA,Graeagle CDP,12.3
2020,June,CA,Grand Terrace city,13.8
2020,June,CA,Granite Bay CDP,11.8
2020,June,CA,Grass Valley city,16
2020,June,CA,Graton CDP,20.9
2020,June,CA,Greenfield city,12.4
2020,June,CA,Greenhorn CDP,20.8
2020,June,CA,Green Valley CDP,0
2020,June,CA,Greenville CDP,27.6
2020,June,CA,Gridley city,13.6
2020,June,CA,Grover Beach city,14.2
2020,June,CA,Guadalupe city,9.7
2020,June,CA,Guerneville CDP,12.4
2020,June,CA,Gustine city,16.2
2020,June,CA,Hacienda Heights CDP,16
2020,June,CA,Half Moon Bay city,8.5
2020,June,CA,Hamilton Branch CDP,23
2020,June,CA,Hamilton City CDP,13.2
2020,June,CA,Hanford city,13.4
2020,June,CA,Hawaiian Gardens city,20.5
2020,June,CA,Hawthorne city,22.8
2020,June,CA,Hayfork CDP,2.6
2020,June,CA,Hayward city,15.8
2020,June,CA,Healdsburg city,10.6
2020,June,CA,Heber CDP,28.2
2020,June,CA,Hemet city,17.7
2020,June,CA,Hercules city,13.5
2020,June,CA,Hermosa Beach city,10.2
2020,June,CA,Hesperia city,15.3
2020,June,CA,Hidden Hills city,16.4
2020,June,CA,Hidden Valley Lake CDP,4.7
2020,June,CA,Highgrove CDP,21.5
2020,June,CA,Highland city,14.4
2020,June,CA,Hillsborough town,11.2
2020,June,CA,Hilmar Irwin CDP,5.5
2020,June,CA,Hollister city,14.9
2020,June,CA,Holtville city,29.7
2020,June,CA,Home Garden CDP,22.5
2020,June,CA,Home Gardens CDP,12.7
2020,June,CA,Homeland CDP,15.8
2020,June,CA,Hughson city,11.6
2020,June,CA,Huntington Beach city,13.3
2020,June,CA,Huntington Park city,17.5
2020,June,CA,Huron city,20.5
2020,June,CA,Hydesville CDP,1.6
2020,June,CA,Idyllwild Pine Cove CDP,9.1
2020,June,CA,Imperial city,24.4
2020,June,CA,Imperial Beach city,18
2020,June,CA,Independence CDP,6.9
2020,June,CA,Indian Falls CDP,0
2020,June,CA,Indian Wells city,12.4
2020,June,CA,Indio city,17.8
2020,June,CA,Industry city,21.3
2020,June,CA,Inglewood city,24.2
2020,June,CA,Interlaken CDP,13.9
2020,June,CA,Inverness CDP,4.4
2020,June,CA,Inyokern CDP,0
2020,June,CA,Ione city,12.2
2020,June,CA,Iron Horse CDP,0
2020,June,CA,Irvine city,11.3
2020,June,CA,Irwindale city,27.1
2020,June,CA,Isla Vista CDP,24
2020,June,CA,Isleton city,12.9
2020,June,CA,Ivanhoe CDP,18.9
2020,June,CA,Jackson city,10.6
2020,June,CA,Jamestown CDP,22.1
2020,June,CA,Johannesburg CDP,0
2020,June,CA,Johnsville CDP,0
2020,June,CA,Joshua Tree CDP,21.1
2020,June,CA,Jurupa Valley city,12.9
2020,June,CA,Keddie CDP,62.5
2020,June,CA,Keeler CDP,0
2020,June,CA,Keene CDP,18.5
2020,June,CA,Kelseyville CDP,9.7
2020,June,CA,Kennedy CDP,24
2020,June,CA,Kensington CDP,8.6
2020,June,CA,Kerman city,12.5
2020,June,CA,Kernville CDP,0
2020,June,CA,Kettleman City CDP,20.4
2020,June,CA,Keyes CDP,15.5
2020,June,CA,King City city,8.2
2020,June,CA,Kings Beach CDP,4.3
2020,June,CA,Kingsburg city,10.2
2020,June,CA,Kirkwood CDP,9.2
2020,June,CA,Klamath CDP,19.6
2020,June,CA,Knightsen CDP,7.7
2020,June,CA,La Canada Flintridge city,9.9
2020,June,CA,La Crescenta Montrose CDP,14.6
2020,June,CA,Ladera Heights CDP,23.2
2020,June,CA,Lafayette city,8.5
2020,June,CA,Laguna Beach city,11
2020,June,CA,Laguna Hills city,11.5
2020,June,CA,Laguna Niguel city,11.9
2020,June,CA,Laguna Woods city,9.4
2020,June,CA,La Habra city,13.9
2020,June,CA,La Habra Heights city,16.4
2020,June,CA,Lake Almanor Country Club CDP,0
2020,June,CA,Lake Almanor Peninsula CDP,0
2020,June,CA,Lake Almanor West CDP,36.7
2020,June,CA,Lake Arrowhead CDP,14.5
2020,June,CA,Lake Elsinore city,14.9
2020,June,CA,Lake Forest city,10.7
2020,June,CA,Lake Isabella CDP,23.4
2020,June,CA,Lakeland Village CDP,21.4
2020,June,CA,Lake Los Angeles CDP,32.7
2020,June,CA,Lake Nacimiento CDP,9.9
2020,June,CA,Lake of the Pines CDP,18.4
2020,June,CA,Lake of the Woods CDP,17.2
2020,June,CA,Lakeport city,8
2020,June,CA,Lakeside CDP,17.7
2020,June,CA,Lakeview CDP,15.7
2020,June,CA,Lake Wildwood CDP,3.4
2020,June,CA,Lakewood city,19
2020,June,CA,La Mesa city,14.2
2020,June,CA,La Mirada city,18.8
2020,June,CA,Lamont CDP,16.1
2020,June,CA,Lanare CDP,0
2020,June,CA,Lancaster city,19.9
2020,June,CA,La Palma city,13.4
2020,June,CA,La Porte CDP,0
2020,June,CA,La Puente city,19.8
2020,June,CA,La Quinta city,16.3
2020,June,CA,La Riviera CDP,11.8
2020,June,CA,Larkspur city,8
2020,June,CA,Las Flores CDP,4.7
2020,June,CA,Las Lomas CDP,17.6
2020,June,CA,Lathrop city,12
2020,June,CA,Laton CDP,17.1
2020,June,CA,La Verne city,16
2020,June,CA,Lawndale city,23
2020,June,CA,Laytonville CDP,27.6
2020,June,CA,Lebec CDP,28.1
2020,June,CA,Le Grand CDP,20.1
2020,June,CA,Lemon Cove CDP,5.8
